"Series","ModelID","ARMA_P","ARMA_Q","GARCH_P","GARCH_Q","Distribution","Model","AIC","BIC","HQIC","LogLikelihood","Convergence","Error"
1,124,1,1,1,2,"std","gjrGARCH",2.17738741251982,2.19278029897647,2.17737510466859,-3934.24860407339,FALSE,NA
1,125,0,0,2,2,"std","gjrGARCH",2.17807449370094,2.19346738015759,2.17806218584971,-3935.4929080924,FALSE,NA
1,126,1,0,2,2,"std","gjrGARCH",2.38451708798494,2.401620295159,2.38450189867508,-4308.36044634072,FALSE,NA
1,127,0,1,2,2,"std","gjrGARCH",2.4046377335559,2.42174094072995,2.40462254424603,-4344.79893546973,FALSE,NA
1,128,1,1,2,2,"std","gjrGARCH",2.45222023902368,2.47103376691514,2.45220186669071,-4429.97085287189,FALSE,NA
1,129,0,0,1,1,"sstd","gjrGARCH",2.16523924662071,2.17721149164255,2.16523179566688,-3914.24827563011,FALSE,NA
1,130,1,0,1,1,"sstd","gjrGARCH",2.16011668062217,2.17379924636142,2.16010695233363,-3903.97130860675,FALSE,NA
1,131,0,1,1,1,"sstd","gjrGARCH",2.15985972641391,2.17354229215316,2.15984999812538,-3903.5059645356,FALSE,NA
1,132,1,1,1,1,"sstd","gjrGARCH",2.15946733214553,2.17486021860218,2.15945502429431,-3901.79533851556,FALSE,NA
1,133,0,0,2,1,"sstd","gjrGARCH",2.39863992214557,2.41403280860222,2.39862761429434,-4334.93689900563,FALSE,NA
1,134,1,0,2,1,"sstd","gjrGARCH",2.409957638898,2.42706084607205,2.40994244958813,-4354.43328404427,FALSE,NA
1,135,0,1,2,1,"sstd","gjrGARCH",2.41260169295149,2.42970490012555,2.41258650364163,-4359.22166593516,FALSE,NA
1,136,1,1,2,1,"sstd","gjrGARCH",2.39264919432962,2.41146272222109,2.39263082199665,-4322.08769093095,FALSE,NA
1,137,0,0,1,2,"sstd","gjrGARCH",2.16606719892057,2.17974976465981,2.16605747063203,-3914.74769724515,FALSE,NA
1,138,1,0,1,2,"sstd","gjrGARCH",2.16093770284625,2.1763305893029,2.16092539499502,-3904.45817985456,FALSE,NA
1,139,0,1,1,2,"sstd","gjrGARCH",2.16068079474603,2.17607368120268,2.1606684868948,-3903.99291928505,FALSE,NA
